Image Name (.tif),Reference Length (um/px),Original Width,Original Height,# of Pixels,Down sampled # of Pixels,Ratio of original size to downsampled,New Reference Length (um/px)
7-13-16_043_1-scale,1.66111,3817,3282,12527394,65536,0.005231415,0.008689956
7-13-16_043_2-scale,2.0533,3453,3629,12530937,65536,0.005229936,0.010738628
7-13-16_043_3-scale,1.94219,3266,3837,12531642,65536,0.005229642,0.010156958
7-13-16_045_1-scale,1.75612,4036,3104,12527744,65536,0.005231269,0.009186736
7-13-16_045_2-scale,2.51067,3723,3366,12531618,65536,0.005229652,0.01312993
7-13-16_045_3-scale,2.00925,3904,3210,12531840,65536,0.005229559,0.010507492
7-13-16_047_1-scale,2.18725,2899,4321,12526579,65536,0.005231756,0.011443157
7-13-16_047_2-scale,1.80728,3509,3570,12527130,65536,0.005231525,0.009454831
7-13-16_047_3-scale,1.57904,3067,4086,12531762,65536,0.005229592,0.008257735
7-14-16_049_1-scale,1.66065,3818,3282,12530676,65536,0.005230045,0.008685274
7-14-16_049_2-scale,2.3573,3963,3161,12527043,65536,0.005231562,0.012332361
7-14-16_049_3-scale,2.16074,3631,3451,12530581,65536,0.005230085,0.011300853
7-14-16_051_1-scale,1.55922,3585,3495,12529575,65536,0.005230505,0.008155507
7-14-16_051_2-scale,2.36384,4587,2732,12531684,65536,0.005229624,0.012361995
7-14-16_051_3-scale,2.60854,3868,3240,12532320,65536,0.005229359,0.013640992
7-14-16_053_1-scale,1.55899,3583,3496,12526168,65536,0.005231927,0.008156522
7-14-16_053_2-scale,1.6958,3296,3802,12531392,65536,0.005229746,0.008868604
7-14-16_053_3-scale,2.44301,4745,2641,12531545,65536,0.005229682,0.012776166
7-14-16_055_1-scale,2.1025,4085,3068,12532780,65536,0.005229167,0.010994324
7-14-16_055_2-scale,2.5207,4896,2559,12528864,65536,0.005230801,0.013185281
7-14-16_055_3-scale,1.93325,4444,2820,12532080,65536,0.005229459,0.010109852
7-15-16_057_1-scale,2.79604,4143,3023,12524289,65536,0.005232712,0.014630873
7-15-16_057_2-scale,1.91034,3711,3377,12532047,65536,0.005229473,0.009990071
7-15-16_057_3-scale,2.05351,3453,3629,12530937,65536,0.005229936,0.010739726
7-15-16_059_1-scale,1.66037,3817,3283,12531211,65536,0.005229822,0.008683439
7-15-16_059_2-scale,1.66918,4698,2666,12524868,65536,0.00523247,0.008733935
7-15-16_059_3-scale,1.45148,3335,3756,12526260,65536,0.005231889,0.007593982
